Tiempo,Dilatacion,Temperatura,Densidad
150,109,163,87
90,81,33,113
177,188,58,134
28,24,49,34
39,90,96,36
143,159,184,171
149,69,112,28
32,155,99,164
44,161,47,45
181,139,64,66
5,192,11,7
108,74,78,13
116,77,25,50
42,78,122,192
160,186,56,100
104,150,171,11
163,1,190,165
116,165,48,180
95,50,180,174
23,82,80,160
69,89,194,65
5,165,79,14
40,89,99,12
133,145,192,116
178,138,126,185
9,8,137,156
173,83,30,118
59,9,148,67
100,43,5,151
112,185,99,61
145,58,23,69
195,158,73,153
162,50,199,101
71,141,188,117
155,35,25,154
94,50,121,91
104,43,144,63
168,81,150,47
148,13,38,152
152,194,170,166
140,141,174,14
124,57,24,123
197,95,133,141
190,45,80,11
88,106,75,185
50,126,2,37
48,190,133,123
155,143,6,184
109,3,73,8
161,193,104,134
97,78,35,58
172,80,189,82
114,132,87,179
45,109,192,143
104,14,166,47
143,183,180,102
161,7,60,182
65,189,105,81
81,193,65,80
26,196,168,110
82,0,43,5
146,9,99,117
50,185,22,131
119,126,191,81
140,113,72,105
14,47,136,22
199,188,42,142
50,56,47,198
151,87,28,34
85,174,159,112
109,76,155,61
127,87,23,126
194,94,178,83
145,140,77,170
68,81,183,195
43,19,117,131
188,64,129,169
87,136,99,0
39,120,7,192
191,103,151,177
178,32,129,153
38,192,158,89
147,153,169,48
105,35,88,92
131,96,191,55
190,150,43,125
33,153,98,15
159,4,130,185
38,199,12,161
118,109,178,28
22,185,165,161
47,23,117,96
67,2,161,136
168,127,83,59
135,137,121,178
107,8,105,195
107,156,173,180
154,22,31,182
177,100,41,136
158,150,22,132
160,114,63,161
163,135,178,105
74,34,162,92
56,174,172,148
11,170,189,134
0,28,163,54
183,59,61,148
125,155,80,93
177,9,96,143
131,167,62,35
43,136,150,48
124,156,150,87
56,66,40,104
166,154,26,126
125,97,44,121
193,61,72,116
102,39,193,111
69,72,179,111
107,118,187,87
94,105,58,140
160,123,104,164
176,80,121,4
186,80,89,188
92,130,123,6
140,47,139,189
115,37,170,100
49,159,76,161
138,78,169,39
63,133,138,155
140,18,89,123
138,51,34,4
194,94,109,175
199,190,83,112
129,138,64,11
185,7,102,158
79,126,190,164
191,79,64,10
71,13,143,183
130,88,108,123
157,189,99,175
187,0,31,50
38,14,116,0
136,193,49,18
92,41,94,154
24,147,171,160
156,78,136,178
151,22,171,100
81,51,103,97
7,37,139,30
84,142,182,47
98,69,191,102
28,166,60,180
25,34,72,152
199,104,160,53
118,197,12,68
76,94,119,42
16,169,18,81
17,90,159,41
155,190,105,197
13,2,162,187
20,22,106,113
66,109,185,117
36,111,186,16
173,177,59,152
34,170,100,157
190,93,167,77
153,120,171,87
40,125,47,181
32,34,129,179
96,18,92,53
17,83,15,56
83,22,146,71
46,121,45,30
56,83,10,13
132,59,78,105
32,64,168,85
163,192,69,127
153,154,45,15
142,10,77,143
102,151,194,91
190,80,102,136
34,50,194,65
14,35,140,159
44,85,21,27
149,134,94,196
34,10,147,35
67,35,55,160
8,197,164,70
167,125,164,33
160,46,161,70
140,20,186,199
96,126,166,154
145,154,183,97
165,79,35,21
30,141,184,32
21,125,46,169
164,93,31,78
181,141,192,195
143,82,77,160
156,124,173,0
197,49,34,38
118,80,160,32
145,165,149,182
138,2,71,52
96,165,113,93
194,124,93,139
113,71,41,81
171,27,49,63
34,6,134,102
97,0,174,110
193,139,5,40
64,6,1,108
51,179,166,185
193,117,189,179
180,103,33,46
14,150,144,120
84,96,104,45
78,130,27,140
116,192,120,144
40,23,93,107
103,20,34,118
188,49,91,32
59,122,87,154
184,126,88,104
25,145,6,184
105,191,41,73
4,59,153,58
129,83,191,131
53,123,33,161
182,59,54,145
0,95,180,43
175,48,27,57
152,20,11,55
75,41,67,18
174,101,46,112
76,148,27,20
157,177,101,58
20,90,81,103
152,90,103,70
146,78,42,174
128,33,79,43
3,32,107,109
14,90,36,17
115,7,5,174
86,5,46,28
34,6,19,127
46,81,38,105
123,23,73,140
80,14,9,54
43,170,22,32
86,134,89,81
92,162,55,194
54,29,98,137
109,103,77,98
22,116,11,13
103,22,53,199
57,56,140,24
173,92,188,186
198,18,119,81
36,43,189,188
94,8,109,15
77,31,80,173
99,26,117,196
135,177,162,83
168,37,181,97
142,94,108,179
31,128,101,189
2,91,58,78
67,32,1,158
153,20,90,78
39,41,141,143
53,180,135,87
48,190,61,1
63,135,76,145
165,186,121,36
192,163,97,84
107,189,10,193
8,6,129,16
157,60,16,166
61,63,165,23
27,76,180,89
162,121,72,102
148,127,42,119
154,11,21,102
184,65,94,91
127,7,94,178
103,112,119,50
144,184,130,134
60,45,164,191
56,70,97,183
6,86,189,130
78,153,164,172
26,27,195,87
8,97,182,113
186,195,95,122
195,88,121,180
192,169,113,102
151,93,145,69
134,173,20,102
101,17,141,161
128,65,96,24
125,108,28,8
115,157,12,148
154,67,142,147
150,88,158,171
141,158,20,51
19,131,76,175
58,158,46,14
75,198,191,49
147,128,32,46
119,127,168,178
172,132,175,104
7,172,144,1
146,154,134,68
32,59,171,110
101,132,54,94
190,118,127,86
136,111,117,76
126,32,39,40
159,96,163,70
40,144,34,66
185,143,34,37
55,132,136,183
192,179,100,20
140,22,108,153
95,10,61,142
179,181,158,105
173,55,57,48
59,32,15,86
90,55,7,99
56,123,41,10
194,152,28,128
51,50,156,183
62,123,81,25
91,114,138,59
56,170,93,94
143,50,11,90
48,194,196,4
55,42,49,186
26,134,165,91
45,108,5,157
119,153,175,104
164,81,161,19
161,6,70,34
115,144,6,0
34,53,39,126
100,112,23,115
196,69,109,71
23,142,107,138
155,156,123,175
158,136,109,22
19,74,183,30
158,19,120,68
30,171,152,119
3,46,178,88
145,97,172,70
111,149,23,59
191,110,14,41
186,80,69,4
57,66,146,174
179,87,25,104
81,194,101,181
102,149,15,95
35,65,183,25
195,115,79,176
8,127,61,95
6,68,34,92
154,0,162,173
39,81,104,2
1,114,101,197
85,58,198,116
16,47,5,60
133,56,121,118
50,53,46,114
131,93,100,164
188,79,32,68
110,181,164,120
158,27,167,198
189,174,21,132
85,91,9,147
51,154,172,168
73,193,140,45
199,61,30,32
63,25,42,84
74,182,110,15
59,27,110,18
159,27,51,157
68,175,135,43
4,183,96,175
168,162,117,184
7,180,124,109
182,190,170,30
169,87,93,164
27,77,154,51
108,152,63,3
21,154,8,63
140,22,65,164
197,69,58,111
182,22,92,4
62,118,59,7
38,68,147,55
102,39,118,92
21,131,47,70
181,36,78,113
166,65,25,86
161,166,68,106
54,95,84,172
65,26,83,137
144,111,11,135
87,195,158,14
189,165,74,44
147,131,76,193
60,51,129,174
1,4,79,144
156,20,53,66
184,81,197,57
138,49,61,144
77,183,134,10
58,170,123,46
76,109,145,118
74,83,103,69
155,83,174,132
116,30,167,87
105,172,140,31
181,166,51,89
32,197,161,68
148,171,55,117
63,49,22,28
92,49,46,120
95,32,163,151
36,191,198,84
23,101,183,9
104,168,188,28
82,74,57,12
46,75,11,60
40,115,89,145
53,36,17,187
94,92,193,162
55,87,17,78
50,47,128,58
77,158,189,139
75,33,127,117
170,96,141,4
160,165,176,127
33,98,101,95
166,175,94,29
126,184,103,194
65,70,124,86
109,17,199,22
62,161,91,54
81,167,178,143
49,112,188,124
192,175,41,142
104,39,15,111
104,58,123,190
17,140,97,108
150,141,125,39
164,188,99,82
36,93,130,82
190,43,145,49
8,11,92,187
116,148,34,120
24,122,51,115
25,187,81,68
177,104,17,48
85,120,111,108
151,164,41,98
160,117,158,172
67,75,112,187
8,83,116,49
188,86,179,67
66,94,32,109
25,105,179,71
194,117,129,136
156,181,95,34
169,150,118,133
63,184,146,175
118,179,95,107
57,29,15,122
179,0,128,188
78,165,91,9
199,75,67,101
162,128,22,42
157,66,124,181
14,152,27,16
120,182,117,12
38,117,126,168
35,151,168,92
186,66,63,53
105,195,63,155
184,107,30,141
153,119,25,61
26,81,40,54
76,5,24,32
149,197,119,116
185,84,148,0
92,112,45,150
191,73,62,26
17,173,37,75
89,99,79,143
34,50,176,25
151,148,10,152
94,126,47,62
11,167,185,164
63,114,172,28
164,1,41,117
82,40,124,90
182,86,88,96
156,191,92,27
10,101,171,137
159,187,64,168
12,71,34,70
179,134,24,64
183,134,46,28
111,138,87,157
15,70,190,72
90,168,135,42
65,177,50,30
139,42,43,33
54,25,10,49
37,68,51,178
186,121,51,14
129,1,97,95
32,159,22,120
77,9,181,133
55,168,132,84
42,75,30,132
77,121,22,49
115,8,193,79
78,178,19,115
34,197,71,165
125,24,164,166
51,118,32,193
40,10,107,154
177,168,20,80
195,84,78,57
40,158,19,49
64,168,81,183
25,19,95,71
116,72,182,83
37,197,59,155
154,170,18,141
32,24,102,183
178,134,157,30
11,42,80,78
191,171,130,9
117,6,136,57
70,88,94,13
49,16,66,6
150,121,138,119
99,81,131,65
163,174,142,141
159,188,75,32
85,195,57,159
64,109,161,152
167,140,56,114
156,0,126,86
30,63,153,196
36,173,156,134
42,163,154,43
145,113,129,127
37,198,23,113
49,87,30,141
99,27,6,87
197,27,47,166
31,95,183,139
29,0,32,48
28,42,65,96
22,81,135,145
53,33,60,91
73,31,14,193
21,186,139,173
139,111,134,100
132,99,181,76
43,27,50,154
170,173,28,79
71,116,147,24
100,58,32,40
34,72,146,195
72,88,33,17
111,94,36,180
132,100,61,82
198,14,185,145
149,107,173,88
84,53,34,129
186,180,51,188
40,108,142,14
113,164,116,190
163,167,147,86
91,64,147,106
26,156,161,113
8,101,159,49
22,55,75,172
164,194,170,48
108,142,8,45
63,199,89,139
35,1,9,23
96,78,187,116
41,88,52,32
148,182,29,162
31,129,135,132
99,76,149,173
23,100,125,1
86,175,22,165
59,20,22,146
101,118,70,65
14,43,157,50
120,198,169,100
60,62,72,108
60,121,146,151
136,50,131,125
173,20,99,144
188,89,48,170
85,33,89,104
158,135,100,69
40,159,6,107
39,65,102,27
21,52,56,151
54,110,123,25
193,12,150,77
68,179,29,124
80,74,72,20
188,35,125,52
157,91,79,71
55,127,21,154
74,27,185,73
118,158,16,134
149,13,192,56
102,159,21,181
78,139,47,170
100,66,142,174
29,122,33,197
8,147,181,5
176,74,193,44
89,37,148,29
60,149,79,102
20,105,57,17
3,127,90,192
102,173,17,193
30,85,181,111
35,83,112,120
97,121,77,107
159,105,82,100
21,199,179,117
151,35,81,121
71,149,170,185
184,43,27,82
61,126,139,114
166,128,103,53
187,72,49,152
63,24,134,56
57,50,164,21
18,28,96,116
13,12,92,185
197,43,105,64
141,67,79,35
53,189,110,55
139,125,36,184
6,187,151,120
35,160,192,147
63,44,97,170
83,12,13,137
192,15,20,184
137,51,187,24
115,139,85,1
83,63,158,150
169,193,117,146
183,47,3,190
59,162,74,159
91,82,182,137
146,91,140,68
2,31,173,16
148,106,73,122
133,2,4,144
119,180,133,7
195,193,40,149
135,23,82,103
119,6,20,136
173,29,138,69
37,150,74,170
49,109,195,69
139,58,156,93
27,180,126,124
80,41,183,72
105,20,32,177
108,197,115,148
9,14,182,91
83,160,25,89
86,41,111,165
138,54,115,179
168,108,127,34
75,42,170,46
188,29,137,148
18,14,111,84
199,195,104,65
130,37,107,82
49,54,56,83
64,140,187,159
140,81,144,90
52,66,44,43
189,62,99,128
30,17,124,96
12,24,180,86
8,194,61,195
181,137,49,0
100,172,18,44
194,171,188,67
57,145,114,124
5,39,158,125
117,157,47,160
98,37,172,74
192,29,85,89
179,110,149,163
37,138,84,59
85,61,66,118
89,17,169,109
3,55,56,94
187,110,119,186
48,62,73,57
126,59,158,58
90,10,171,50
120,185,69,145
105,42,166,127
169,35,29,94
94,195,39,109
138,172,88,106
95,93,62,72
118,153,173,15
160,60,102,16
162,93,102,81
83,156,185,39
172,100,175,137
161,178,30,190
10,195,136,57
137,116,69,138
109,168,176,178
125,94,91,93
169,130,83,52
176,45,28,119
42,149,123,187
164,31,53,81
1,118,43,59
69,19,61,13
193,113,89,186
98,140,163,66
159,47,81,48
143,102,49,157
96,29,49,106
32,153,177,112
80,91,180,195
79,159,94,19
164,76,10,60
59,79,171,167
52,177,70,98
39,35,140,58
175,100,163,135
23,52,28,88
171,166,130,77
137,97,123,147
149,102,76,41
166,28,42,65
21,143,92,112
84,22,80,47
160,90,62,180
172,198,88,34
174,137,70,82
31,115,50,22
115,65,100,180
28,33,120,73
82,99,52,2
116,154,15,142
148,12,199,114
185,81,75,199
188,150,126,141
75,79,70,158
8,192,172,137
184,197,66,162
152,54,147,194
99,76,18,163
119,147,182,51
40,51,52,109
93,117,126,111
167,170,131,156
42,118,48,54
70,196,98,66
25,190,98,181
47,49,170,39
29,155,99,172
70,43,186,90
78,26,142,36
88,27,94,184
67,170,96,91
190,51,113,32
189,192,129,65
81,39,95,9
41,178,52,68
78,168,8,137
147,173,2,98
66,136,125,95
52,47,50,54
190,182,4,10
139,54,97,55
15,78,94,178
49,12,123,128
104,190,86,134
112,82,118,93
46,126,3,148
195,33,40,109
192,53,119,118
48,154,5,176
12,175,130,35
89,115,198,102
142,174,165,197
170,144,52,179
189,17,195,27
19,119,131,53
127,106,76,96
143,44,69,30
85,25,136,167
67,148,65,194
5,193,71,75
101,81,141,169
107,93,20,152
117,75,54,52
82,179,45,115
34,17,18,47
158,151,185,15
139,56,118,84
133,193,188,42
10,167,37,143
148,183,3,105
106,122,10,182
199,27,0,76
94,163,15,180
123,188,118,131
157,194,119,188
44,131,171,141
170,10,111,190
199,198,68,179
165,4,127,198
117,159,106,67
20,103,190,44
62,143,44,54
70,16,71,101
191,197,75,133
77,59,193,43
166,111,83,12
195,47,51,127
148,77,44,55
108,59,96,124
112,150,7,164
8,21,128,125
116,20,121,111
117,134,47,25
46,91,35,13
73,171,57,183
102,191,107,127
46,149,195,155
10,178,164,65
60,88,167,31
190,8,185,199
129,30,27,138
23,106,13,180
142,103,187,157
177,62,159,3
103,140,10,192
88,126,127,192
52,183,119,42
115,187,143,33
144,111,73,104
193,150,147,18
124,86,53,117
167,86,105,16
96,173,149,144
156,21,77,19
5,152,161,93
61,5,185,140
19,114,130,106
18,168,68,190
114,63,5,41
136,38,77,66
21,23,151,135
91,134,96,19
12,131,119,194
18,101,128,28
82,68,136,185
123,62,112,105
189,65,32,130
99,40,56,198
107,21,17,100
53,159,196,44
36,71,190,0
90,152,133,93
194,143,86,67
102,169,117,4
198,79,61,19
104,19,145,102
17,157,63,138
132,66,162,131
32,184,198,107
63,127,100,58
30,176,24,113
129,93,70,108
154,149,134,67
29,144,49,21
52,167,183,155
105,30,59,199
71,39,37,141
100,95,115,181
25,14,69,33
58,188,137,163
138,25,19,157
49,94,2,43
113,199,119,186
68,183,38,12
132,62,67,154
109,8,107,142
173,4,7,51
4,6,64,166
116,186,22,47
117,139,0,59
52,15,108,77
11,73,89,134
166,107,194,148
145,187,106,2
196,0,199,130
23,58,3,21
125,62,198,56
66,24,48,60
113,47,146,83
6,130,157,123
144,113,40,39
28,147,100,50
137,178,172,72
35,120,50,183
18,103,152,102
182,113,19,34
51,167,187,136
132,21,62,18
164,121,72,19
76,14,117,38
21,15,76,73
84,126,8,89
72,194,60,144
190,178,73,20
198,59,156,192
78,182,169,12
122,168,78,118
112,122,48,45
34,57,112,20
103,186,2,178
75,118,141,10
186,18,55,194
30,46,91,97
38,169,48,10
12,156,110,97
111,163,168,123
151,137,95,21
54,83,38,151
33,99,27,14
58,176,100,53
151,67,29,101
65,84,188,63
75,141,196,111
51,95,21,184
61,137,163,91
165,26,78,86
146,63,142,49
22,19,94,47
86,52,88,68
71,16,153,158
17,182,33,40
172,168,184,92
169,95,2,1
49,13,184,51
124,176,75,115
187,156,115,141
156,43,114,194
121,33,52,78
196,13,188,156
59,52,123,167
101,157,66,114
21,126,112,89
47,128,137,69
7,160,127,179
159,42,23,17
52,103,80,79
120,66,135,96
131,119,28,82
112,150,49,101
18,0,118,10
60,119,172,14
4,176,36,114
47,70,191,46
156,44,1,111
91,126,117,74
97,51,32,184
92,77,4,199
83,127,109,136
87,60,104,170
174,140,99,179
9,82,131,192
97,156,55,123
172,26,108,149
163,31,167,146
42,133,124,58
33,162,28,187
180,80,1,77
125,188,102,29
106,176,38,149
97,73,140,42
84,115,38,69
100,102,164,13
18,116,35,185
104,83,75,60
96,60,78,12
166,191,142,181
46,23,111,91
4,27,128,24
104,54,160,128
99,136,167,5
170,18,173,142
27,87,143,184
19,148,147,174
38,162,54,184
58,16,100,63
185,84,184,38
176,38,186,145
66,124,132,133
169,161,80,101
49,27,11,142
42,156,124,51
98,96,144,16
14,66,174,102
1,198,43,172
132,0,131,4
197,15,67,148
29,56,158,92
81,162,113,163
29,148,138,57
23,175,2,153
118,80,128,166
68,65,146,9
62,81,163,26
79,99,19,66
128,76,49,197
123,23,152,83
55,89,198,115
37,30,98,91
108,120,192,4
58,33,0,166
77,187,142,47
91,197,168,90
118,79,156,132
111,75,49,45
131,160,147,126
25,53,125,113
155,173,197,89
157,63,9,130
81,134,132,49
145,151,153,61
60,131,182,0
100,65,105,135
4,33,44,51
197,121,59,57
109,56,103,66
21,171,125,174
73,56,156,194
152,123,64,20
40,80,27,109
23,75,47,41
26,13,165,188
157,82,25,143
53,173,178,98
182,148,85,164
141,133,29,186
22,3,198,77
122,119,114,88
150,198,44,30
63,19,115,65
60,199,115,184
33,78,133,66
193,189,92,163
56,138,60,145
180,64,149,72
191,184,117,159
57,90,164,40
108,42,171,92
55,180,27,80
195,20,26,90
29,79,11,101
118,189,4,3
117,22,72,73
135,171,147,166
139,29,148,74
76,163,131,27
19,43,154,42
128,149,190,85
190,35,198,73
150,52,192,76
81,46,5,43
127,26,109,125
20,55,192,73
167,146,193,172
158,10,116,172
41,10,142,123
197,60,71,158
198,152,25,185
32,128,118,141
69,169,145,1
41,162,121,20
162,53,22,171
12,164,143,7
46,23,125,181
98,5,105,127
147,99,24,123
152,13,100,24
119,5,49,165
152,48,37,186
19,85,188,99
139,14,186,173
106,96,128,184
18,184,107,64
143,198,65,81
31,8,175,131
35,135,114,61
47,25,182,20
62,23,17,72
69,125,129,53
72,154,197,162
43,136,192,26
130,13,12,113
49,113,105,5
86,22,27,181
38,184,171,34
190,85,171,84
4,79,54,50
127,109,199,27
37,115,159,96
125,68,46,119
160,62,91,99
153,149,166,61
45,9,174,101
110,69,61,103
51,26,9,98
171,18,25,187
20,38,70,179
41,60,102,75
120,177,81,13
63,147,88,156
182,8,49,6
157,174,163,139
192,81,111,102
90,77,15,71
187,94,136,93
19,177,62,38
113,69,195,55
119,82,144,166
158,47,86,131
183,86,167,169
146,97,56,162
170,79,151,159
184,102,90,45
89,192,59,156
57,172,138,42
110,31,116,20
180,154,140,127
196,16,195,135
130,143,40,126
103,160,71,97
39,178,131,102
93,50,156,189
161,89,187,92
122,82,51,165
76,147,10,114
135,107,25,159
164,136,115,143
41,62,52,174
6,107,77,119
182,70,36,180
1,130,36,23
59,78,0,50
23,98,97,174
2,29,93,174
172,194,26,109
167,171,64,159
19,82,52,111
102,167,0,121
87,179,39,184
130,92,4,120
32,4,76,33
88,77,161,89
71,67,46,156
141,198,127,20
9,90,143,181
104,199,65,76
174,5,47,119
160,176,45,60
107,140,112,63
67,36,197,108
187,172,18,144
48,184,159,145
24,173,197,70
167,36,148,22
40,43,39,68
42,154,176,26
9,129,55,97
112,128,131,13
157,23,57,71
182,94,175,48
30,22,67,164
161,198,158,115
146,44,140,69
19,83,8,67
102,161,134,141
111,159,114,23
59,98,188,140
153,41,60,159
25,30,69,111
174,39,9,51
